Time,X,Y,Z
1715146676405,0.0,0.0,0.0
1715146676414,0.005565405,0.010946274,-0.0040807724
1715146676418,-0.01139915,0.013541222,0.015991211
1715146676422,-0.034346938,-0.007983685,0.027310371
1715146676426,-0.05635476,-0.0141477585,0.038630962
1715146676431,-0.063320756,-0.0195117,0.02279377
1715146676435,-0.07017183,-0.0011954308,-0.035083294
1715146676444,-0.058500648,0.0056791306,-0.08656025
1715146676449,-0.048768997,-0.015730381,-0.116415024
1715146676452,-0.011196017,0.019602299,-0.10915899
1715146676458,-0.06309545,0.20329857,-0.10159683
1715146676461,-0.029235482,-0.0975337,-0.17204285
1715146676466,-0.03026402,0.024457932,-0.21842909
1715146676474,-0.037185907,0.035557747,-0.19939852
1715146676478,-0.0155620575,0.0040278435,-0.18815088
1715146676482,-0.043012857,-0.00439167,-0.18478155
1715146676486,-0.048255324,-0.06843519,-0.16002369
1715146676491,-0.06434631,-0.08443117,-0.10079527
1715146676495,-0.10125089,-0.071157455,-0.058167458
1715146676503,-0.105547786,-0.06529331,-0.06161976
1715146676508,-0.059302926,-0.29425097,-0.023171902
1715146676512,-0.015083551,0.07131624,-0.024764538
1715146676516,-0.09929073,0.1843915,0.08146191
1715146676521,0.11106026,-0.3446331,-0.0014328957
1715146676525,-0.058711767,0.64361,0.03573847
1715146676533,0.026487589,-0.33346462,0.06222105
1715146676537,0.23132497,-0.20190573,-0.06877661
1715146676542,-0.058383584,0.55961895,0.06062174
1715146676547,0.0944742,-0.32594538,-0.029287815
1715146676551,0.04417336,0.08011341,-0.09027624
1715146676555,-0.021029115,0.047353268,-0.10990238
1715146676564,-0.017346859,0.024226189,-0.11090422
1715146676568,-0.037351012,0.0835619,-0.10967016
1715146676572,-0.028918624,0.07135582,-0.09626293
1715146676576,-0.012767792,0.06760931,-0.04363823
1715146676581,-0.006512046,0.115448,-0.029920578
1715146676585,0.008560061,0.11682081,-0.0426836
1715146676593,0.03304839,0.117230415,-0.019081593
1715146676597,0.028160214,0.13545704,-0.042796135
1715146676602,-0.05145514,0.24675655,-0.054235935
1715146676608,0.02221787,-0.375669,-0.14943933
1715146676610,-0.09291494,0.2900915,-0.13862944
1715146676618,-0.17493689,-0.13643551,0.054214954
1715146676624,0.102100134,-0.67886543,-0.16759682
1715146676628,-0.2237215,0.5203748,0.07096195
1715146676633,-0.15484154,-0.36005497,0.1549859
1715146676636,-0.06653142,-0.04701376,0.04648161
1715146676641,-0.23721969,0.22894907,0.2571578
1715146676649,0.042199135,-0.6472478,0.0693655
1715146676653,-0.078080654,0.5059171,0.1701889
1715146676658,-0.1455344,0.095748425,0.2899928
1715146676662,-0.0017672777,-0.047911644,0.1193881
1715146676668,-0.026166916,0.10215902,0.15315628
1715146676670,-0.028208494,0.027978897,0.1673541
1715146676680,-0.05482757,0.013733387,0.12594938
1715146676683,-0.11681247,0.01956749,0.12342739
1715146676687,-0.12995744,-0.063331604,0.19224215
1715146676691,-0.18092656,-0.057688236,0.24579096
1715146676695,-0.21921146,-0.014984131,0.22975063
1715146676700,-0.25982308,0.07810497,0.2352128
1715146676709,-0.09779084,-0.52777433,0.11677265
1715146676713,-0.13890779,0.37477684,0.14725924
1715146676717,-0.18908644,0.13422489,0.24589205
1715146676721,0.106579065,-0.2938285,0.072514534
1715146676726,-0.03151107,0.529356,0.22058535
1715146676730,0.17816573,-0.37530184,0.02502489
1715146676740,0.24598998,0.26104307,0.004436016
1715146676743,-0.008576632,0.6938667,0.20044374
1715146676747,0.29885834,-0.4359951,-0.0805521
1715146676752,0.11381805,0.5386605,-0.008277893
1715146676756,0.08795178,0.011276722,-0.028680801
1715146676760,0.22365654,-0.060631752,-0.13178253
1715146676769,-0.12740982,0.94083595,6.341934E-4
1715146676772,0.08191967,-0.4342866,-0.12946129
1715146676777,0.018552184,0.34784555,-0.06318855
1715146676783,-0.11340058,0.55093145,0.122467995
1715146676786,0.05863607,0.06635952,0.25927973
1715146676790,0.04105282,0.2984457,0.45041895
1715146676799,0.09039891,0.084246635,0.44294977
1715146676802,0.078181505,0.11457491,0.46623182
1715146676807,0.06440151,0.050490856,0.36718082
1715146676811,0.016150475,-0.0022330284,0.20644712
1715146676816,-0.028999686,-0.0664773,0.11780834
1715146676820,-0.040673137,-0.085739136,0.13593197
1715146676828,-0.050924063,-0.16198301,0.21806002
1715146676833,-0.052861094,-0.2844591,0.28060102
1715146676837,-0.078409314,-0.36091137,0.36311626
1715146676841,-0.08716905,-0.41768932,0.4107027
1715146676846,-0.08051145,-0.4361868,0.41362238
1715146676854,-0.07897103,-0.44751406,0.39735937
1715146676860,-0.09362948,-0.46242142,0.37218904
1715146676863,-0.06460023,-0.4080372,0.30492306
1715146676867,0.0045261383,-0.37849426,0.23903322
1715146676871,0.048030972,-0.33024216,0.20000553
1715146676875,0.13193452,-0.22292948,0.1717925
1715146676884,0.20762825,-0.06268501,0.18851662
1715146676888,0.29813957,0.12544775,0.32839775
1715146676892,0.39036953,0.3029828,0.553462
1715146676897,0.46294868,0.4633479,0.6999712
1715146676901,0.5138999,0.58737135,0.68848705
1715146676905,0.5313364,0.66678953,0.5055733
1715146676913,0.5297928,0.71670485,0.20691013
1715146676919,0.52686214,0.7438531,-0.16471958
1715146676922,0.49531376,0.8049164,-0.5261464
1715146676926,0.41412604,0.87885,-0.90959644
1715146676931,0.29926753,0.98867846,-1.5094972
