Time,X,Y,Z
1714992708237,0.0,0.0,0.0
1714992708241,0.0047370195,-0.0072627068,-0.011601925
1714992708245,-0.0027578473,-0.0116324425,-0.020425797
1714992708250,0.0038029552,-0.01154995,-0.005168915
1714992708259,-0.0011517406,-0.011441231,0.043306828
1714992708263,-0.005848825,-0.021327972,0.09289503
1714992708267,-0.016729653,-0.0068454742,0.12588358
1714992708271,-0.013101459,0.005513191,0.11822128
1714992708276,-0.017613769,0.0034761429,0.118560314
1714992708280,-0.002249062,0.018643856,0.13782597
1714992708289,0.012046576,0.08432579,0.16501713
1714992708293,-0.031713486,0.17603636,0.19527054
1714992708297,0.081061184,-0.26105595,0.08718538
1714992708302,0.05516565,0.110476494,0.09932089
1714992708306,0.0528906,0.06905651,0.11907101
1714992708311,0.095116496,0.045387745,0.09496832
1714992708318,0.09490004,0.080711365,0.13142014
1714992708322,0.09799209,0.02263403,0.12005043
1714992708327,0.09402159,0.07076931,0.09319258
1714992708332,0.07346338,0.08047438,0.08923578
1714992708336,0.059289247,0.062874794,0.053278923
1714992708341,0.048338532,0.08347654,0.032889366
1714992708349,0.031671464,-0.03706312,0.068284035
1714992708353,0.16983104,-0.35117912,-0.09426451
1714992708357,-0.024778545,0.5533867,0.037848473
1714992708361,0.014754534,-0.21350908,0.03735161
1714992708366,0.09267157,0.13968086,-0.15301704
1714992708370,-0.11901033,0.30466557,0.2032156
1714992708379,0.17504379,-0.67041016,-0.062224865
1714992708383,0.035114408,0.46395588,0.037766933
1714992708387,-0.102201045,0.07615328,0.3116517
1714992708391,0.008530378,-0.09930611,0.13088512
1714992708396,-0.04652673,0.043133736,0.2388959
1714992708400,-0.028409958,-0.06260681,0.28312588
1714992708409,0.0012867451,-0.02424717,0.23818636
1714992708413,0.004552543,-0.011634827,0.18306303
1714992708417,0.052763432,-0.04711628,0.07782984
1714992708421,0.04522413,0.026501179,-0.032699585
1714992708426,0.055645406,0.08462715,-0.16452742
1714992708430,0.012948155,0.18175983,-0.20624399
1714992708439,0.18597758,-0.5167184,-0.29981518
1714992708443,0.14936388,0.40516853,-0.29440498
1714992708447,0.014751077,0.14686489,-0.030406475
1714992708451,0.24519446,-0.22125006,-0.19550228
1714992708456,0.024411231,0.60427475,0.116281986
1714992708460,0.17143244,-0.42419815,0.034656525
1714992708468,0.27422237,0.1919055,-0.105155945
1714992708473,-0.09399003,0.5380268,0.30858612
1714992708477,0.16203767,-0.5471492,0.026854038
1714992708481,-0.0113013685,0.35913277,0.07316685
1714992708485,-0.08074412,-0.08601332,0.1696434
1714992708494,0.02241242,-0.16614437,0.012520313
1714992708499,-0.083547175,0.10288572,0.083618164
1714992708503,-0.047778964,-0.09955883,-0.058237553
1714992708509,-0.044478238,-0.04545498,-0.05923748
1714992708511,-0.012233615,-0.032989025,-0.055152416
1714992708517,0.024068922,-0.01734209,-0.0742116
1714992708524,0.02939561,0.019761086,-0.0713768
1714992708528,0.021443248,0.03759861,-0.08347416
1714992708533,0.027459681,-9.6702576E-4,-0.06747818
1714992708537,0.054087996,0.008248806,-0.078962326
1714992708541,-0.06522253,0.3003955,0.025642872
1714992708545,0.080566734,-0.48028612,-0.076361656
1714992708554,0.12212461,0.22442245,-0.16275978
1714992708558,-0.1326431,0.39015675,0.24815464
1714992708562,0.22707812,-0.5747328,-0.11443043
1714992708567,0.08651304,0.47330666,0.007323265
1714992708571,0.0644536,-0.13498974,0.08679485
1714992708576,0.26340926,-0.0513978,-0.15919685
1714992708584,-0.067029625,0.7497058,0.18335676
1714992708588,0.17333952,-0.66477394,-0.10187626
1714992708592,0.17158881,0.2706833,-0.253222
1714992708596,-0.05529836,0.24117327,-0.008853912
1714992708601,0.1878084,-0.33934116,-0.21401024
1714992708605,-0.027785629,0.67393494,0.0033216476
1714992708614,0.07846713,-0.47020435,0.11616993
1714992708618,0.29607338,-0.15308428,-0.11773729
1714992708622,0.06295776,0.3429222,0.12819576
1714992708627,0.1418818,-0.008678436,0.0661459
1714992708631,0.124893695,0.09447336,0.10269976
1714992708635,0.115680546,0.11678934,0.110100746
1714992708644,0.105086386,0.106667995,0.09622431
1714992708647,0.069990724,0.048294544,0.1404233
1714992708652,0.0067016184,-0.0063471794,0.14292622
1714992708658,-0.057314247,-0.07841253,0.07404947
1714992708661,-0.12737009,-0.10243654,0.042167664
1714992708666,-0.16392902,-0.14224958,0.03641653
1714992708676,-0.14479753,-0.18593025,-0.001232624
1714992708678,-0.11342564,-0.17444849,-0.0026006699
1714992708681,-0.0503307,-0.15129805,0.03206253
1714992708686,0.03596437,-0.083963394,0.06304121
1714992708691,0.17199948,-0.0035214424,0.10379505
1714992708695,0.3408485,0.1033659,0.145545
1714992708703,0.4761532,0.23820305,0.17925358
1714992708708,0.5500747,0.3624401,0.17518044
1714992708712,0.6192094,0.47580576,0.1687541
1714992708716,0.65086955,0.5501709,0.21581125
1714992708720,0.6202756,0.56658936,0.24995613
1714992708728,0.55011916,0.52247524,0.29270315
1714992708733,0.43106675,0.42789888,0.36043262
1714992708738,0.318789,0.33517647,0.39386654
1714992708742,0.19465205,0.22411203,0.39558935
1714992708746,0.08540654,0.13219786,0.32509565
1714992708751,-0.02222222,0.06243038,0.19063663
1714992708759,-0.10826218,0.013664246,0.012368202
1714992708763,-0.20864505,-0.0014762878,-0.13286734
