Time,X,Y,Z
1715151115802,0.0,0.0,0.0
1715151115805,0.013986826,0.01078701,0.019124746
1715151115809,0.01330781,0.02959919,0.05270648
1715151115817,0.021621943,0.034851074,0.0509727
1715151115822,0.005507827,0.02503872,0.03723836
1715151115826,-0.0014595985,0.020318985,0.016328335
1715151115831,-0.024349928,-0.007814407,-0.027502537
1715151115835,-0.059909463,-0.034710884,-0.060389996
1715151115839,-0.09490669,-0.041747093,-0.082740545
1715151115848,-0.08020377,-0.2865429,-0.11638737
1715151115852,-0.11106348,0.03801632,-0.15072966
1715151115856,-0.16349244,0.07112503,-0.08209348
1715151115862,-0.089331865,-0.10615158,-0.12454629
1715151115865,-0.08536506,0.00244236,-0.05494094
1715151115873,-0.026552796,-0.042404175,-0.06724453
1715151115878,0.037578344,0.032396317,-0.06022215
1715151115882,0.061982155,0.0597744,-0.010180712
1715151115886,0.094251156,0.042619705,0.0053977966
1715151115891,0.11860192,0.09094334,0.013254404
1715151115895,0.16081,-0.0751791,0.017962694
1715151115904,0.17567551,0.24893188,-0.02330923
1715151115908,0.008471727,0.5329962,0.1480546
1715151115912,0.23840964,-0.5248661,-0.058240652
1715151115917,0.07175982,0.4417801,0.09656358
1715151115922,0.059508562,-0.074287415,0.05016303
1715151115925,0.15622771,-0.16756153,-0.09564185
1715151115934,-0.13005316,0.6803436,0.14273906
1715151115938,0.11567819,-0.8073025,-0.15364695
1715151115942,0.044282317,-0.0059423447,-0.14998913
1715151115947,-0.10277593,0.16645241,-0.061319828
1715151115951,-0.029890895,-0.11781788,-0.13921666
1715151115955,-0.06930947,0.017381668,-0.035208225
1715151115964,-0.041598678,-0.06476116,-0.037700176
1715151115968,-0.008139253,-0.024957657,-0.008043051
1715151115972,0.012052894,0.026810646,0.0876658
1715151115976,0.020169735,0.01804924,0.11920571
1715151115982,0.027277827,0.04045868,0.09489322
1715151115985,0.028046846,-0.047302246,0.07157326
1715151115994,-0.025610447,0.39693832,0.05353117
1715151115998,-0.056726575,-0.045928,0.085950136
1715151116003,0.12354338,-0.33994293,-0.20681858
1715151116006,-0.038138032,0.43090916,0.04304886
1715151116010,0.13081634,-0.3883562,-0.08437991
1715151116015,0.10368407,0.34639263,-0.07446718
1715151116024,-0.032835007,0.39758492,0.28073573
1715151116028,0.29641354,-0.5961199,-0.036195993
1715151116032,0.08590984,0.5876951,0.10161066
1715151116036,0.0708698,-0.011537552,0.07010603
1715151116042,0.17456591,-0.07564831,-0.103984594
1715151116045,-0.016302824,0.39411163,0.07234812
1715151116053,0.095559955,-0.09433174,-0.14179301
1715151116057,0.06943381,0.13502502,-0.022511244
1715151116062,0.06345832,0.14199829,0.03506446
1715151116066,0.12926567,0.089686394,-0.06561899
1715151116070,0.16035688,0.152318,-0.14895272
1715151116075,0.21943665,0.1526432,-0.22176337
1715151116083,0.3095706,0.1726942,-0.3777461
1715151116087,0.39471,0.15828514,-0.49257684
1715151116092,0.51528066,0.11171436,-0.58195496
1715151116096,0.5386945,0.50562096,-0.5543444
1715151116101,0.73389304,-0.1526022,-0.67610073
1715151116105,0.8059459,0.484231,-0.6185725
1715151116113,0.66666406,0.86827564,-0.32858133
1715151116117,1.0236478,-0.28656197,-0.73443484
1715151116123,0.85072124,0.7533884,-0.56333494
1715151116126,0.85316384,0.21759796,-0.56702065
1715151116130,0.9335793,0.098163605,-0.67323875
1715151116138,0.6481895,0.9153166,-0.43980598
1715151116143,0.7385259,-0.50151443,-0.7209029
1715151116147,0.46498156,0.41713333,-0.5907781
1715151116152,0.24144113,0.45470047,-0.54172015
1715151116156,0.3875059,-0.32259178,-0.73708534
1715151116160,0.22062886,0.67765045,-0.707634
1715151116168,0.44342542,-0.27015495,-0.9231813
1715151116173,0.58374417,-0.09153175,-1.1760626
1715151116179,0.31491828,0.5285702,-1.2853205
1715151116183,0.26726997,0.21504402,-1.5632815
1715151116186,0.1268264,0.36316967,-1.6910002
1715151116191,-0.012888432,0.32985878,-1.8422856
1715151116200,-0.17508411,0.30346966,-1.9786096
1715151116203,-0.6315615,0.23894691,-2.2390695
1715151116208,-0.6852863,0.013122559,-2.4560976
1715151116211,-0.6533942,-0.22676277,-2.475953
1715151116217,-0.60872793,-0.38186264,-2.3524923
1715151116220,-0.54570603,-0.4691062,-2.1947064
1715151116233,-0.52251005,-0.46733284,-2.104551
1715151116233,-0.51204944,-0.335423,-2.12417
1715151116237,-0.5820017,-0.20696115,-2.2194629
1715151116242,-0.67914104,-0.042634487,-2.318239
1715151116245,-0.7325828,0.019885063,-2.458075
1715151116249,-0.69111395,-0.03719473,-2.5431392
1715151116258,-0.56094766,-0.20491552,-2.4745064
1715151116263,-0.41725087,-0.40445566,-2.291656
1715151116267,-0.36307263,-0.5689955,-1.8521099
1715151116271,-0.3678081,-0.6840191,-1.2979329
1715151116275,-0.27858973,-0.9317789,-0.7297931
1715151116280,-0.0036473274,-1.3813167,-0.22560072
1715151116288,0.6145551,-2.1403384,-0.20848799
1715151116293,1.3213229,-2.6928658,-0.46507597
1715151116296,1.505511,-2.5985105,0.3619647
1715151116302,1.3677268,-2.2829413,1.3601484
1715151116305,0.98320794,-1.912765,2.0708365
1715151116309,0.60644126,-1.6297975,2.404779
1715151116318,0.72127366,-1.6397691,2.487176
