Time,X,Y,Z
1714956791361,0.0,0.0,0.0
1714956791368,-0.01795721,-0.0047311783,0.04385996
1714956791372,-0.013630986,-0.002184391,0.053770065
1714956791376,-0.031843305,-0.01525259,0.08278322
1714956791381,-0.065726995,-0.009921551,0.07585049
1714956791385,-0.066731334,0.009468079,0.02048111
1714956791389,-0.03807807,0.041750908,-0.0575037
1714956791398,0.029782057,0.0580554,-0.11384535
1714956791402,0.07270336,0.06421566,-0.19984245
1714956791407,0.13309538,0.06959772,-0.2742629
1714956791411,0.16665816,0.11702442,-0.32109022
1714956791416,0.2779814,-0.17713976,-0.33963633
1714956791421,0.3044628,0.0010094643,-0.28220272
1714956791429,0.29521966,0.072253704,-0.19293642
1714956791433,0.32255447,-0.082102776,-0.1368165
1714956791437,0.32343864,-0.046274185,-0.050882816
1714956791441,0.3259145,-0.057902813,0.037854195
1714956791446,0.31584787,-0.03444624,0.10048914
1714956791454,0.25145054,3.8957596E-4,0.17446613
1714956791458,0.1965394,-0.05532694,0.2440033
1714956791462,0.13224018,-0.06623268,0.263556
1714956791467,0.053445816,0.050202847,0.20872974
1714956791472,-0.034263015,0.05718088,0.19473124
1714956791478,0.043396354,-0.4934554,0.052784443
1714956791486,-0.16639543,0.46383905,-0.04443264
1714956791488,-0.22784805,-0.19836855,-0.0026993752
1714956791494,-0.06925845,-0.51706505,-0.18634081
1714956791497,-0.32758558,0.3484831,-0.18788528
1714956791503,-0.20251083,-0.35868597,-0.17766333
1714956791505,-0.20737696,-0.06766415,-0.18932009
1714956791513,-0.21806383,0.017938614,-0.052402496
1714956791520,-0.14956486,-0.07836056,0.08226156
1714956791523,-0.12675202,0.031018257,0.17152405
1714956791528,-0.044022083,0.0154771805,0.28030348
1714956791531,0.07303095,0.037264824,0.37858152
1714956791535,0.1326704,0.07954264,0.41210604
1714956791544,0.207412,0.030470848,0.42030668
1714956791548,0.21717429,0.05646181,0.44003534
1714956791552,0.20506954,0.12586403,0.4070115
1714956791556,0.2181027,0.15706778,0.3156891
1714956791561,0.36834526,-0.30912113,0.15906334
1714956791565,0.24344802,0.55241966,0.04527998
1714956791573,0.25594544,-0.15296268,0.0433321
1714956791578,0.43357944,-0.34247303,-0.16175365
1714956791582,0.10208583,0.63030195,-0.16977215
1714956791587,0.19247174,-0.3296523,-0.18404102
1714956791591,0.08480048,0.20511103,-0.24441528
1714956791595,-0.10053444,0.15735435,-0.14874077
1714956791604,0.08361912,-0.6305809,-0.21464157
1714956791608,-0.24429536,0.5456195,-0.15331364
1714956791612,-0.2680745,-0.01913786,-0.06694126
1714956791616,-0.18954754,-0.09385872,-0.053554535
1714956791621,-0.21373272,0.021817684,0.029972076
1714956791625,-0.18980479,-0.013221741,0.13196182
1714956791634,-0.1888597,-0.03617382,0.19604158
1714956791638,-0.19826734,-0.008077621,0.19413948
1714956791642,-0.18665957,-0.014008045,0.17850304
1714956791646,-0.17175484,-0.0057940483,0.114114285
1714956791651,-0.14636254,-0.015791893,-0.028036594
1714956791655,-0.06977534,-0.023925781,-0.17094564
1714956791663,-0.08924365,0.50388956,-0.16121483
1714956791668,-0.014462948,-0.09722948,-0.15479326
1714956791672,0.09029579,-0.022984505,-0.26165676
1714956791678,-0.092223644,0.454875,-0.13579702
1714956791681,0.062404633,-0.39437437,-0.16477728
1714956791689,-0.082093,0.54233027,-0.19671917
1714956791693,-0.17944503,0.1405096,0.005905628
1714956791697,0.065806866,-0.44564342,-0.0861845
1714956791702,-0.16955662,0.52270174,-0.02041483
1714956791707,-0.07165241,-0.23404694,0.008069038
1714956791710,-0.019573927,0.09715891,-0.05881405
1714956791720,-0.2246418,0.43795443,0.09941721
1714956791723,0.062250853,-0.78180075,-0.055870056
1714956791727,-0.110367894,0.34950256,-0.017980099
1714956791732,-0.1917373,0.014592171,0.007127285
1714956791736,-0.018096209,-0.385036,-0.14407635
1714956791741,-0.1853981,0.21723604,-0.08914089
1714956791749,-0.07247996,-0.16681528,-0.2056737
1714956791753,-0.06364131,-0.006213665,-0.21212578
1714956791757,-0.095790386,0.039453506,-0.12693787
1714956791761,-0.06318188,-0.00704813,-0.0854311
1714956791766,-0.05925548,0.027628899,-0.03241253
1714956791770,-0.042404532,0.013290882,0.068264484
1714956791780,-0.013072491,-0.002632141,0.13140202
1714956791783,7.5769424E-4,0.009210587,0.11499834
1714956791788,0.03251195,-0.0040416718,0.07053661
1714956791791,0.087491035,-0.020048141,0.022397041
1714956791796,0.15263772,-0.01647091,-0.07692528
1714956791802,0.19928873,-0.0013279915,-0.14531708
1714956791809,0.21912682,-0.013749123,-0.18124819
1714956791813,0.21276474,0.033011913,-0.17572021
1714956791817,0.14323986,0.004778862,-0.16555929
1714956791821,0.088442564,-0.0145154,-0.098342896
1714956791827,0.025500655,-0.009439945,0.0013399124
1714956791830,-0.05220616,-0.006635666,0.13774824
1714956791838,-0.1478548,-2.3889542E-4,0.243927
1714956791844,-0.25934577,-0.02114439,0.41432
1714956791847,-0.3051343,-0.025087357,0.5032611
1714956791852,-0.32584155,-0.012845039,0.5775151
1714956791855,-0.30435228,-0.015474319,0.61376333
1714956791861,-0.22646916,-0.03325939,0.6039667
1714956791869,-0.14019108,-0.040704727,0.5288811
1714956791873,-0.072941184,-0.029479504,0.41430092
1714956791877,0.012135267,-0.043644905,0.28298283
1714956791881,0.065929055,-0.055469513,0.17360401
1714956791885,0.12612247,-0.07244444,0.10800934
1714956791890,0.19346833,-0.023940086,0.1163826
