Time,X,Y,Z
1715155950172,0.0119223595,0.013500214,0.026008606
1715155950176,0.011351466,0.022824764,0.030015945
1715155950183,-0.015586257,0.01577568,0.017872334
1715155950187,-0.020062685,-0.004509926,0.04183197
1715155950192,-0.02651298,-0.04092312,0.09745121
1715155950196,-0.049460053,-0.04504919,0.10157919
1715155950201,-0.09935355,-0.05086565,0.07479334
1715155950205,-0.14346457,-0.08236885,0.026317596
1715155950213,-0.15795362,-0.11578417,-5.6648254E-4
1715155950218,-0.15316516,-0.23448992,0.024202347
1715155950222,-0.25073093,0.09879875,0.050498962
1715155950226,-0.23752886,-0.17072582,0.037941933
1715155950230,-0.2200191,-0.20276022,-0.048794746
1715155950236,-0.23937076,-0.16404247,-0.008511066
1715155950243,-0.20099342,-0.2280941,-0.008898735
1715155950247,-0.19479203,-0.17645264,-0.0601573
1715155950252,-0.18617833,-0.15936089,-0.08879137
1715155950256,-0.151357,-0.13959265,-0.12886524
1715155950260,-0.08078009,-0.092598915,-0.10919666
1715155950265,0.028782308,-0.105190754,-0.08124876
1715155950273,0.019726634,0.3505454,0.045672894
1715155950278,0.12712646,-0.117959976,0.15541744
1715155950282,0.24892831,-0.1457138,-0.0722909
1715155950286,0.03569424,0.4257269,0.17525291
1715155950291,0.22929382,-0.35764933,0.06444025
1715155950296,0.04047537,0.35904884,0.07014704
1715155950303,-0.03874892,0.10298395,0.2529049
1715155950308,0.16476214,-0.6154003,-0.08768034
1715155950312,-0.13372314,0.2790575,0.085653305
1715155950316,-0.08701736,-0.12191725,0.021428585
1715155950320,-0.084388316,-0.17486286,-0.13732386
1715155950325,-0.1186614,-0.07771492,-0.17428446
1715155950333,-0.09907311,-0.14940596,-0.25948524
1715155950338,-0.053168178,-0.16838598,-0.2826271
1715155950342,-0.008942485,-0.10469055,-0.30831432
1715155950346,0.04116094,-0.096996784,-0.29947424
1715155950350,0.091623545,-0.028778076,-0.27297592
1715155950356,0.11777496,0.06355953,-0.25960302
1715155950363,0.065671206,0.29886055,-0.12812614
1715155950368,0.22802484,-0.4110198,-0.1545062
1715155950372,0.093610525,0.26987886,-0.14142418
1715155950377,0.063379884,0.0397892,-0.09932375
1715155950381,0.21707666,-0.29223728,-0.17467165
1715155950389,-0.07516134,0.61833954,0.05409193
1715155950393,0.23844278,-0.61965847,-0.202178
1715155950397,0.13918293,-0.065086365,-0.17084742
1715155950403,-0.015722156,0.36440134,0.010406971
1715155950406,0.25864768,-0.46099567,-0.16125345
1715155950410,0.07730365,0.4484439,-0.054100037
1715155950419,0.20255911,-0.043673992,-0.09832144
1715155950423,0.2639799,-0.020051956,-0.178689
1715155950428,0.22136188,0.21181011,-0.14341545
1715155950432,0.28532612,0.10859156,-0.14718485
1715155950436,0.24107695,0.13783836,-0.039083004
1715155950441,0.21344876,0.13259745,-0.054831505
1715155950449,0.1255362,0.110789776,-0.10243702
1715155950453,0.06562209,0.1046114,-0.08949041
1715155950458,0.01152885,0.103127,-0.090931416
1715155950462,-0.029865384,0.013783932,-0.137959
1715155950466,0.02975583,-0.17173243,-0.2486558
1715155950470,-0.14761406,0.4734459,-0.16187525
1715155950479,-0.059266686,-0.22426748,-0.07633591
1715155950483,0.073991776,-0.3763132,-0.3049512
1715155950487,-0.27411574,0.5412469,-0.07685852
1715155950491,-0.05201143,-0.44695234,-0.121067524
1715155950496,-0.1694265,0.10092783,-0.16688299
1715155950500,-0.22573274,0.007285595,-0.035639763
1715155950509,-0.015676022,-0.68456936,-0.268857
1715155950513,-0.3697589,0.52101374,-0.08510637
1715155950517,-0.2237488,-0.2827196,-0.06878281
1715155950522,-0.112829745,-0.34263706,-0.25321102
1715155950526,-0.24116391,0.22242546,-0.01988554
1715155950530,0.07200158,-0.60007715,-0.1975522
1715155950539,-0.08786833,0.31993866,-0.121788025
1715155950543,-0.10770905,0.31284714,0.14862633
1715155950547,0.1696111,-0.3687625,-0.083441734
1715155950551,0.06352937,0.11203289,0.16328526
1715155950556,0.089799285,0.012411118,0.24658537
1715155950560,0.077360034,-0.05022192,0.22026634
1715155950570,0.034286737,0.06270075,0.23703432
1715155950573,-0.009234667,0.009578228,0.3252859
1715155950578,-0.04643166,-4.6157837E-4,0.31300354
1715155950581,-0.08227956,0.0032334328,0.2632351
1715155950586,-0.113883495,-0.054489613,0.23843336
1715155950590,-0.15695792,-0.05633259,0.1842432
1715155950599,-0.1880517,-0.09694624,0.04533291
1715155950603,-0.20030445,-0.07766676,-0.04619932
1715155950607,-0.17861223,-0.11471748,-0.04990816
1715155950611,-0.14316714,-0.11088276,-0.07080221
1715155950616,-0.10848141,-0.0659976,-0.089399815
1715155950620,-0.073372364,-0.044273376,-0.06444931
1715155950628,-0.08398926,-0.0029211044,-0.021520138
1715155950633,-0.06390929,0.001935482,0.015743256
1715155950637,-0.0492509,-0.015965462,0.066165924
1715155950641,-0.07006824,-0.032712936,0.16651392
1715155950645,-0.061919153,-0.029882431,0.29100037
1715155950654,-0.06792277,-0.038244724,0.45070124
1715155950659,-0.05244112,-0.04810381,0.60249805
1715155950663,-0.09940344,-0.010215282,0.7287798
1715155950667,-0.13008064,-0.0075325966,0.7845516
1715155950671,-0.15408546,0.011707783,0.8716545
1715155950677,-0.17977464,0.049420834,1.0078359
1715155950684,-0.22643691,0.09384203,1.0794344
1715155950689,-0.2279126,0.11351347,1.0912919
1715155950692,-0.20759797,0.08928108,0.9994068
