Time,X,Y,Z
1714972098972,0.0,0.0,0.0
1714972098976,0.014185652,-0.0073037148,-0.022594452
1714972098980,0.026665926,-0.010423422,-0.032258034
1714972098988,0.030884415,-0.012394786,0.0031576157
1714972098993,0.0060322583,-0.01882875,0.047100067
1714972098997,0.0024915487,-0.029882431,0.048923492
1714972099001,-0.018237323,-0.03371823,0.1048069
1714972099005,-0.031309485,-0.055076003,0.1330719
1714972099011,-0.009858191,-0.085870266,0.13142776
1714972099018,0.0077996254,-0.085804105,0.09813309
1714972099022,0.020204082,-0.09025204,0.099342346
1714972099027,0.022879109,-0.014169216,0.113972664
1714972099031,0.06268327,0.05182278,0.11383724
1714972099036,0.09252307,-0.284698,0.09899044
1714972099040,0.05109474,-0.10535419,0.08731747
1714972099049,0.0147533715,-0.22531164,0.10297394
1714972099052,-0.021508798,-0.29803002,0.13209057
1714972099057,-0.037073314,-0.250409,0.13214302
1714972099062,-0.046317548,-0.27567983,0.111346245
1714972099066,-0.024149314,-0.21982253,0.11746788
1714972099071,-0.018726423,-0.13395965,0.08928585
1714972099079,-0.050325006,-0.05875051,0.06899357
1714972099083,-0.05765283,0.14243948,-0.034773827
1714972099087,0.022759587,0.24706328,-0.1805954
1714972099091,0.003503427,-0.15816367,-0.2834406
1714972099095,-0.09972362,0.7331898,-0.33421135
1714972099099,0.022133753,-0.02826643,-0.38616848
1714972099108,-0.2539269,0.054615974,-0.3140669
1714972099112,-0.13069536,1.0352309,-0.29345226
1714972099116,-0.117010385,-0.36532867,-0.33390045
1714972099121,-0.29079205,0.20046711,-0.28278255
1714972099125,-0.2373636,0.21921003,-0.35659122
1714972099131,-0.29806793,0.024040818,-0.34737587
1714972099138,-0.26205754,0.12466419,-0.2620268
1714972099144,-0.2532711,-0.015335202,-0.28629684
1714972099147,-0.27466828,0.01696539,-0.28233242
1714972099151,-0.17413315,-0.0056222677,-0.2612419
1714972099155,-0.10003312,-0.08459699,-0.3002491
1714972099160,-0.034078754,-0.085388064,-0.18765354
1714972099168,-0.0010632277,-0.06831586,-0.10220623
1714972099172,-0.010101661,-0.3448155,-0.09669781
1714972099176,-0.24412611,-0.23097348,-0.09086609
1714972099180,-0.21582228,0.06676519,-0.065686226
1714972099185,-0.21715552,-0.7568737,-0.05456829
1714972099191,-0.25562873,0.24965954,-0.011605263
1714972099198,0.12948835,-0.44347882,0.075107574
1714972099203,0.090384826,-0.9423381,0.20195961
1714972099207,0.1399819,0.14479363,0.40053177
1714972099212,0.14683792,-0.6039642,0.4617138
1714972099215,-0.20078605,-0.06843972,0.4318285
1714972099224,-0.27510506,0.37977195,-0.09449482
1714972099228,-0.40959615,0.010754347,-0.044133186
1714972099233,-0.410345,0.49634862,-0.0043554306
1714972099237,-0.40522367,0.5646608,0.22651672
1714972099241,-0.31678075,0.6991068,0.20172405
1714972099245,-0.32605636,0.6977401,0.057588577
1714972099254,-0.22328848,0.71176994,0.25047493
1714972099258,-0.24372503,0.31539416,0.16798401
1714972099263,0.012172341,0.38272405,0.04185486
1714972099267,0.103590325,0.14408302,0.006085396
1714972099272,0.11573613,0.23800528,-0.25072098
1714972099275,0.08103657,0.26286936,-0.024228096
1714972099284,-0.15297425,-0.5814574,0.15323162
1714972099288,-0.18915929,0.80455804,0.040641785
1714972099292,-0.037921682,0.06635094,0.16715336
1714972099296,-0.18541141,-0.17477226,-0.013792992
1714972099301,-0.10311098,0.306808,-0.03967285
1714972099305,0.028293952,-0.6050484,0.114331245
1714972099314,-0.10841191,0.22642529,0.6295004
1714972099318,-0.040194705,0.12710619,0.23013973
1714972099323,-0.09154465,-0.73263186,0.133214
1714972099327,-0.1198345,0.16161013,0.12667847
1714972099332,0.009265125,-0.44680464,-0.10309982
1714972099335,-0.081884846,-0.12857401,-0.07901096
1714972099343,-0.111108385,0.53827536,-0.30770588
1714972099348,-0.14924935,-0.67176104,-0.4652319
1714972099352,-0.24240893,0.010358095,-0.28910923
1714972099356,-0.19129749,0.015144944,-0.28261566
1714972099361,-0.19455464,-0.14856744,-0.21588135
1714972099365,-0.20673713,0.019355893,-0.16590023
1714972099374,-0.18421012,-0.053761244,-0.22112465
1714972099378,-0.16488615,-0.24883473,-0.5751953
1714972099382,-0.063178025,0.07588613,-0.0070877075
1714972099390,-0.01481016,0.1926459,0.19422245
1714972099391,-0.030094966,0.13511157,-0.12978268
1714972099395,-0.03463511,0.007624626,-0.37126923
1714972099403,0.03771794,-0.029405713,-0.48236656
1714972099407,0.05195068,0.010827541,-0.4397068
1714972099412,0.22641373,0.031235337,-0.497427
1714972099416,0.29649282,-0.056288958,-0.6580219
1714972099420,0.23850648,0.0978601,-0.25615788
1714972099424,0.007281959,0.2727741,-0.018776894
1714972099433,-0.040905476,0.3014437,-0.22915363
1714972099438,0.044448152,0.18627083,-0.49448872
1714972099442,0.094887435,-0.012018919,-0.69952583
1714972099446,0.047519043,-0.02716422,-0.52940655
1714972099452,0.022273764,-0.1440928,-0.54107475
1714972099459,-0.018124357,-0.29238868,-0.982913
1714972099464,-0.20370904,-0.39907777,-1.2574844
1714972099467,-0.4723404,-0.47317338,-0.79938126
1714972099472,-0.5127206,-0.0032356977,-0.4587965
1714972099476,-0.26955035,0.15900505,-0.5690155
1714972099480,0.22432587,0.24971938,-0.7260704
1714972099488,0.4098585,0.11605668,-0.17746735
1714972099493,0.58586764,0.2615658,0.15743446
1714972099497,0.56323516,0.21402252,0.22865486
