Time,X,Y,Z
1714956755851,0.0,0.0,0.0
1714956755855,-0.0050014853,0.004467353,0.010043144
1714956755864,-0.0060148835,0.025575295,0.015464783
1714956755868,0.023521602,0.043984562,0.022248268
1714956755872,0.027996898,0.028785348,0.015861511
1714956755877,0.06490725,0.00942333,-0.0049095154
1714956755881,0.09840536,-0.01926051,-0.047662735
1714956755885,0.11023134,-0.056251124,-0.091365814
1714956755893,0.11829466,-0.07873781,-0.1283493
1714956755898,0.13553333,-0.080004595,-0.13067913
1714956755902,0.12424123,-0.07252737,-0.10952091
1714956755908,-0.034748733,-0.08014279,-0.114172935
1714956755911,-0.19552207,-0.03280896,0.11976814
1714956755917,-0.013919711,-0.054079637,0.14649773
1714956755924,0.025658667,-0.0584699,-0.20432758
1714956755928,-0.021621704,-0.041976884,0.022296906
1714956755933,-0.07042611,0.0012547672,-0.06253052
1714956755936,-0.120527685,0.05309707,-0.08709717
1714956755942,-0.13970059,0.09356251,-0.07276821
1714956755945,-0.17469501,0.11326903,-0.086037636
1714956755954,-0.19857246,0.13216992,-0.041680336
1714956755958,-0.20058244,0.15020113,-0.054969788
1714956755962,-0.31928265,0.13170353,-0.080470085
1714956755966,-0.43966535,0.19110636,0.16082859
1714956755971,-0.011552632,0.17817153,0.3615427
1714956755975,-0.1398741,0.1473473,-0.49813366
1714956755984,-0.3107063,0.22801912,0.78043175
1714956755988,0.3265941,0.10333997,0.40658188
1714956755992,-0.16595042,0.10434918,-0.47872448
1714956755996,-0.16176611,0.13737756,0.6671648
1714956756001,0.016005635,0.13296223,0.07232952
1714956756005,0.027601719,0.07160275,0.10150528
1714956756014,0.0077169538,0.10270798,0.14016342
1714956756017,-0.012637734,0.046533927,-0.01837635
1714956756022,-0.025425851,0.04554026,0.04157257
1714956756026,-0.06917548,0.02817607,0.0059013367
1714956756031,-0.107866466,0.00468041,0.057816505
1714956756036,-0.14367753,0.0018828511,0.06304932
1714956756043,-0.3533386,-0.0018157512,0.13358974
1714956756048,0.0513044,-0.019917011,0.33701038
1714956756052,-0.12631077,-0.18818387,-0.32705212
1714956756056,-0.19666612,-0.0026361942,0.40059185
1714956756061,0.15063882,-0.17267188,-0.14509106
1714956756065,-0.26473713,-0.12249633,-0.18243217
1714956756074,0.2127819,0.13387889,0.8862333
1714956756078,0.2725085,-0.2764914,-0.6487818
1714956756082,-0.100723326,0.015623555,0.1279335
1714956756086,0.36802799,-0.09704602,0.18801689
1714956756092,0.06871605,-0.11752886,-0.51206875
1714956756100,0.11965084,0.075279325,0.69305325
1714956756103,0.60524124,-0.25864315,-0.40571308
1714956756109,0.20470434,-0.014832243,-0.3887558
1714956756112,0.18197995,-0.035455212,0.22401905
1714956756117,0.118137956,-0.038060457,-0.04395771
1714956756121,0.118911386,-0.0070952475,0.0962553
1714956756129,0.11012906,-0.022860616,-0.051986694
1714956756133,0.05876994,0.016000122,0.0074539185
1714956756137,0.06914258,-0.032075107,0.042941093
1714956756142,0.069161,-0.012089074,-0.04846096
1714956756146,0.061152637,-0.030776411,-0.042263985
1714956756150,0.22623771,0.0026684403,2.6130676E-4
1714956756160,0.4187944,-0.10812745,-0.25506592
1714956756163,-0.1548559,-0.026179954,-0.5541334
1714956756167,0.12738621,0.020861253,0.4949875
1714956756171,0.24505877,-0.115933,-0.45681095
1714956756175,-0.09974533,0.02912125,-0.014707565
1714956756181,0.35887182,-0.08766073,0.21036434
1714956756189,-0.055749476,-0.035179213,-1.0134029
1714956756193,-0.058925033,-0.009575427,0.6922989
1714956756197,0.33910263,-0.111288324,-0.16390133
1714956756202,-0.1614511,-0.049442798,-0.40731144
1714956756206,0.14238024,-0.034392476,0.4819193
1714956756210,0.026391566,-0.06643821,-0.75377846
1714956756219,-0.29163522,-0.0352899,0.46511078
1714956756223,0.3125431,0.028985605,0.36072254
1714956756227,-0.14802301,-0.12172324,-0.7265148
1714956756232,-0.14513576,0.01909627,0.5760822
1714956756236,0.09600335,-0.010440767,-0.1897316
1714956756242,-0.026616633,-0.08099466,-0.028150558
1714956756249,-0.02451086,0.06567198,0.2546091
1714956756252,0.017520845,-0.05437304,-0.117583275
1714956756257,0.042005897,0.037238166,0.09227562
1714956756261,0.049427748,0.04737225,0.08197498
1714956756266,0.064736724,0.061739504,0.08285904
1714956756270,0.08972937,0.07788217,0.06300354
1714956756278,0.108253896,0.07222442,0.09953022
1714956756284,0.10541439,0.10911204,0.11106968
1714956756287,0.11673325,0.085638925,0.11663914
1714956756292,0.10143626,0.1078022,0.114191055
1714956756296,0.08057088,0.11737041,0.12144375
1714956756301,0.04478836,0.11849634,0.12730408
1714956756309,0.024476588,0.07663007,0.10822773
1714956756313,0.0026618242,0.097620204,0.1118145
1714956756317,-0.01747936,0.10324584,0.08788109
1714956756321,-0.035675347,0.08626433,0.07847595
1714956756325,-0.059937835,0.07333225,0.065463066
1714956756334,-0.08647543,0.05353789,0.045007706
1714956756338,-0.089071214,0.03906095,0.054618835
1714956756342,-0.09635621,0.06523667,0.046916008
1714956756346,-0.08779812,0.072705254,0.061346054
1714956756352,-0.06813496,0.084455684,0.08140755
1714956756355,-0.04587072,0.084141284,0.11054134
1714956756364,-0.0284729,0.068995744,0.10882282
1714956756368,-0.00651592,0.0021502823,0.11068821
1714956756372,0.008662045,-0.03225544,0.09014797
1714956756377,0.012815535,-0.054400668,0.049017906
